,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
"X (refer to legend in row 1, column A for details)",X,X,X,X,X,X,X,X,ID,E,X,ID,ID,I,X,ID,ID,ID,E,E,E,E,ID,E,E,E,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,X,Tags,,,,,E,E,ID,ID,E,E,X,E,E,X,
,,,,,,,,,,,,For new or not yet updated content: ,,,,,,SOURCE,,,,,,,,,,,,,,,,,,,,,E,E,E,E,ID,Relationship to other resources,,,,,,,,,,
Date Inclusion Criteria Reviewed (1st meeting June 8th),Inclusion Criteria 1: Relevance,Inclusion Criteria 2: Authority/Credibility,Inclusion Criteria 3: Currency,Inclusion Criteria 4: Objectivity/Conflict of Interest ,Inclusion Criteria 5: Evidence-based/informed,"Inclusion Criteria 6: Readability/Accessibility (Note: when noted, grade is based on Hemmingway app). Not needing to put in readability level at this point. ",Content has been vetted (Y/N),Content has been formatted (Y/N),Inventory ID,Title,Status,Person responsible,Others involved,Required work,Lit search request date,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,Profession,Resource type ,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A ,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Old Master Tag (Level 1),Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location,,Thumbnails ,Accessibility ,Audience level (tag names TBC),
,,,,,,,,,1,[insert other DCD Advocacy Toolkit resources] e.g. letters - parent resource; ppt/webinar,May need updating,Stephanie,Jill Z.,Review to ensure web-ready; add tags,,,,Internal,"Ivonne M. , OT & Stephanie G. , OT",,,,,,DO NOT USE,,,,,,,,,,,,,,,DCD,,,N,Management of Developmental Coordination Disorder (DCD) 2018,DCD saved search; DCD management brief overview,,Ivonne M.,,N/A,901,,,,
"31 May 2022;
please see comment under keywords; I have not made any changes but want to; Salina",,,,,,,Y,Y,2,2020 Child-Bright Virtual Symposium Session Recordings: Child-Bright Network,Screening,Claire/Salina,,,,,,External,Child-Bright Network and Strategy for Patient-Oriented Research (SPOR) Evidence Alliance,2020,2022,https://www.child-bright.ca/virtual-symposium,"May 31, 2022","clinicians, researchers, families/caregivers",all,Video or audio,Web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,"Learn About Treatment, Care and Activities",Health Condition-specific Resources,,,,,Intervention,"The 2020 CHILD-BRIGHT Virtual Symposium was a series of 4 virtual sessions that showcased innovative work focused on childhood brain-based developmental disabilities. During each session, 10-minute presentations from speakers were followed by a 5-minute question period. Recordings of each presentation are archived below. ",Other,,"webinars, congenital heart disease, genomic testing, developmental disabilities, neurological impairment, youth, children, sibling, Indigenous, First Nations, parents, caregivers, peer mentor, support, Snijders Blok-Campeau syndrome, engagement, stroke, video, virtual reality, game-based interventions, coaching, autism, employment",Y,N,N,,Kim,All,Canada-Wide,1360,,,original sources,
Vetting completed to criteria objectivity/conflict of interest. Follow-up with Jen E. re: if we should include (to do with executive functioning). Follow-up with Kim re: conflict of interest,,,,,,,,,3,360 Cognitive Connections,,Claire,,,,,,External,,,,https://www.efpractice.com/,,,,,,,,,,,,,,,,,,,,,,,,,Michelle L.,,N/A,1350,,,,
"31 May 2022;
I have not completed this one, don't feel confident to be able to do this; Salina",,,,,,,,,4,5. Plan A: Standardized measures of IQ and development: BC Campus,,Claire,,,,,,Internal,Jennifer Engle (BC Campus),,,https://pressbooks.bccampus.ca/jengle/chapter/specific-intelligence-tests/,"September 9, 2021",clinicians,All,e-Book,web link,,,,,,,,,,,Assessment,Resource that aids in understanding factors to consider when choosing a test of IQ in special populations and describes the benefits and drawbacks of various tests of IQ and development ,no specific diagnosis,,"assessment, test, IQ, disability, special populations, test selection, review, IQ, developmental, general intelligence tests, nonverbal scales of intelligence, single domain nonverbal tests, developmental measures, recommendations, further education",N,N/A,N/A,,Jen E. ,All,,1399,,,,
June 23-21,,,created in 2013 but much of content still relevant,,,,Y,Y,6,A Clinical Application Guide to Standardized Wheelchair Seating Measures & Support Surfaces (Rev 2013) ,web-ready,Debbie,,,,,Positioning Mobility Team,External,University of Colorado Denver,2013,,https://www1.ucdenver.edu/centers/center-for-inclusive-design-and-engineering/services/clinical-services/wheelchair-seating-measures-guide,May 31-21,"clinicians, researchers","OT, PT, HCP students",Website,web link,"Services, Supports & Community Resources",Learn About Assessments,Other Assessment Resources,,,,,,,,Assessment,Resources that promote the adoption and use of standardized terminology and measurement during all phases of seating and mobility service delivery,"Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Positioning, mobility, lower body, Assistive technology","wheelchair, mobility, assistive device, evaluation, definitions, terminology, measurement, posture, positioning, evaluation",N,N ,N/A,,Debbie,All,USA,1135,,,all,
June 23-21,,,created in 2013 but much of content still relevant,,,,Y,Y,6,A Clinical Application Guide to Standardized Wheelchair Seating Measures & Support Surfaces (Rev 2013) ,web-ready,Debbie,,,,,Positioning Mobility Team,External,University of Colorado Denver,2013,,https://www1.ucdenver.edu/centers/center-for-inclusive-design-and-engineering/services/clinical-services/wheelchair-seating-measures-guide,May 31-21,"clinicians, researchers","OT, PT, HCP students",Website,web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,Intervention,Resources that promote the adoption and use of standardized terminology and measurement during all phases of seating and mobility service delivery,"Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Positioning, mobility, lower body, Assistive technology","wheelchair, mobility, assistive device, evaluation, definitions, terminology, measurement, posture, positioning, evaluation",N,N,N/A,,Debbie,All,USA,1136,,,all,
Vetting completed to objectivity/conflict of interest,,,2007,,,,Y,,7,"A Neuropsychological Assessment of Persons with Physical Disability, Visual Impairment or Deafness.",Web-ready,Tanja,,add,n/a,04-Jun-21,,External,"Felicia Hill-Briggs, Jack G Dial, Donna A Morere, Arthur Joyce",2007,2007,https://pubmed.ncbi.nlm.nih.gov/17303374/,15-Feb-22,Clinicians,psychologists,Article,PDF,Assessment,Learn About Assessments,Other Assessment Resources,,,,,,,,Assessment,"Summary of issues pertaining to neuropsychological test selection and administration, common accommodation and modification practices, test development and validation, and disability-related factors that influence interpretation of test results when assessing individuals with physical, visual and/or hearing impairments.","Motor impairment, visual impairment, hearing impairment","cognition, motor function, behaviour, language, and executive functioning, Hand, arm use, printing, cognition, motor function, behaviour, language, and executive functioning","Neuropsychological testing, Motor impairment, visual impairment, hearing impairment, cognition, motor function, behaviour, language, and executive functioning",N,N,N,,Jen E.,,,846,,,Advanced,
