"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
"X (refer to legend in row 1, column A for details)",X,X,X,X,X,X,X,X,ID,E,X,ID,ID,I,X,ID,ID,ID,E,E,E,E,ID,E,E,E,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,Tags,,,,,E,E,ID,ID,E,E,X,E,E,X,
,,,,,,,,,,,,For new or not yet updated content: ,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,E,E,ID,Relationship to other resources,,,,,,,,,,
Date Inclusion Criteria Reviewed (1st meeting June 8th),Inclusion Criteria 1: Relevance,Inclusion Criteria 2: Authority/Credibility,Inclusion Criteria 3: Currency,Inclusion Criteria 4: Objectivity/Conflict of Interest ,Inclusion Criteria 5: Evidence-based/informed,"Inclusion Criteria 6: Readability/Accessibility (Note: when noted, grade is based on Hemmingway app). Not needing to put in readability level at this point. ",Content has been vetted (Y/N),Content has been formatted (Y/N),Inventory ID,Title,Status,Person responsible,Others involved,Required work,Lit search request date,Target completion date,Program to follow-up with (SH/BCCH program responsible),Source,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,Profession,Resource type ,File Format,Master Tag (Level 1),LEVEL 2,Level 3,Level 4,Level 2,Level 3,Level 4,Level 2,Level 3,Level 4,Old Master Tag (Level 1),Description,Health condition,Functional area,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age (see tags tab),Location,,Thumbnails ,Accessibility ,Audience level (tag names TBC),
,,,,,,,,,1,[insert other DCD Advocacy Toolkit resources] e.g. letters - parent resource; ppt/webinar,May need updating,Stephanie,Jill Z.,Review to ensure web-ready; add tags,,,,Sunny Hill,"Ivonne M. , OT & Stephanie G. , OT",,,,,,,,,,,,,,,,,,,,,DCD,,,N,Management of Developmental Coordination Disorder (DCD) 2018,DCD saved search; DCD management brief overview,,Ivonne M.,,N/A,901,,,,
From e-blast. Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,2,2020 Child-Bright Virtual Symposium Session Recordings: Child-Bright Network,,Claire,,,,,,"External, Child-Bright Network and Strategy for Patient-Oriented Research (SPOR) Evidence Alliance",Child-Bright Network and Strategy for Patient-Oriented Research (SPOR) Evidence Alliance,,,https://www.child-bright.ca/virtual-symposium,"August 18, 2021","clinicians, researchers, families/caregivers",all,Video,Web link,Intervention,,,,,,,,,,Intervention,A series of 4 virtual sessions that showcased innovative work focused on childhood brain-based developmental disabilities. ,,,"webinars, congenital heart disease, genomic testing, developmental disabilities, neurological impairment, youth, children, sibling, Indigenous, First Nations, parents, caregivers, peer mentor, support, Snijders Blok-Campeau syndrome, engagement, stroke, video, virtual reality, game-based interventions, coaching, autism, employment",Y,N,N,,Kim,All,Canada-Wide,1360,,,original sources,
Vetting completed to criteria objectivity/conflict of interest. Follow-up with Jen E. re: executive functioning. Follow-up with Kim re: conflict of interest,,,,,,,,,3,360 Cognitive Connections,,Claire,,,,,,,,,,https://www.efpractice.com/,,,,,,,,,,,,,,,,,,,,,,,,,Michelle L.,,N/A,1350,,,,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,4,5. Plan A: Standardized measures of IQ and development: BC Campus,,Claire,,,,,,BC Campus,Jennifer Engle,,,https://pressbooks.bccampus.ca/jengle/chapter/specific-intelligence-tests/,"September 9, 2021",clinicians,All,e-Book,web link,Assessment,,,,,,,,,,Assessment,Resource that aids in understanding factors to consider when choosing a test of IQ in special populations and describes the benefits and drawbacks of various tests of IQ and development ,no specific diagnosis,,"assessment, test, IQ, disability, special populations, test selection, review, IQ, developmental, general intelligence tests, nonverbal scales of intelligence, single domain nonverbal tests, developmental measures, recommendations, further education",N,N/A,N/A,,Jen E. ,All,,1399,,,,
,,,,,,,,,5,9 Helpful Hints for Interacting with a Person who is Blind,Web-ready,Maddy,N/A,,,,Visual Impairment,"External, Everyday Sight",Everyday Sight,,,https://www.everydaysight.com/interacting-with-a-person-who-is-blind/,3-Jun-21,"families/caregivers, educators, clinicians",All,Website/page,web link,Background,,,,,,,,,,Background,Article with general tips on how to interact with people who are blind,blind,vision,"vision, blind, visual impairment, tips, interacting ",N,N/A,N/A,,,N/A,,582,,,N/A,
June 23-21,,,created in 2013 but much of content still relevant,,,,,,6,A Clinical Application Guide to Standardized Wheelchair Seating Measures & Support Surfaces (Rev 2013) ,web-ready,Debbie,,,,,,University of Colorado Denver,,2013,,https://www1.ucdenver.edu/centers/center-for-inclusive-design-and-engineering/services/clinical-services/wheelchair-seating-measures-guide,May 31-21,"clinicians, researchers","OT, PT, HCP students",webpage to pdf,"webpage, pdf",Intervention,,,,,,,,,,Intervention,Resources that promote the adoption and use of standardized terminology and measurement during all phases of seating and mobility service delivery,individuals using wheelchairs,"wheelchair use, mobility, posture","wheelchair; mobility; equipment,  prescription; provision, evaluation, definitions, terminology, measurement",N,,,,Debbie,,N/A,1135,,,all,
June 23-21,,,created in 2013 but much of content still relevant,,,,,,6,A Clinical Application Guide to Standardized Wheelchair Seating Measures & Support Surfaces (Rev 2013) ,web-ready,Debbie,,,,,,University of Colorado Denver,,2013,,https://www1.ucdenver.edu/centers/center-for-inclusive-design-and-engineering/services/clinical-services/wheelchair-seating-measures-guide,May 31-21,"clinicians, researchers","OT, PT, HCP students",webpage to pdf,"webpage, pdf",Assessment,,,,,,,,,,Assessment,Resources that promote the adoption and use of standardized terminology and measurement during all phases of seating and mobility service delivery,individuals using wheelchairs,"wheelchair use, mobility, posture","wheelchair; mobility; equipment,  prescription; provision, evaluation, definitions, terminology, measurement",N,,,,Debbie,,N/A,1136,,,all,
