Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
1,[insert other DCD Advocacy Toolkit resources] e.g. letters - parent resource; ppt/webinar,Stephanie,Jill Z.,Review to ensure web-ready; add tags,,,Internal,"Ivonne M. , OT & Stephanie G. , OT",,,,,,,,,,,,,,,,,,DCD,,,N,Management of Developmental Coordination Disorder (DCD) 2018,DCD saved search; DCD management brief overview,,Ivonne M.,,
2,2020 Child-Bright Virtual Symposium Session Recordings: Child-Bright Network,Claire/Salina,,,,,External,Child-Bright Network and Strategy for Patient-Oriented Research (SPOR) Evidence Alliance,2020,2022,https://www.child-bright.ca/virtual-symposium,"May 31, 2022","clinicians, researchers, families/caregivers",Web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,"Learn About Treatment, Care and Activities",Health Condition-specific Resources,,,,,"The 2020 CHILD-BRIGHT Virtual Symposium was a series of 4 virtual sessions that showcased innovative work focused on childhood brain-based developmental disabilities. During each session, 10-minute presentations from speakers were followed by a 5-minute question period. Recordings of each presentation are archived below. ",Other,,"webinars, congenital heart disease, genomic testing, developmental disabilities, neurological impairment, youth, children, sibling, Indigenous, First Nations, parents, caregivers, peer mentor, support, Snijders Blok-Campeau syndrome, engagement, stroke, video, virtual reality, game-based interventions, coaching, autism, employment",Y,N,N,,Kim,All,Canada-Wide
3,360 Cognitive Connections,Claire,,,,,External,,,,https://www.efpractice.com/,,,,,,,,,,,,,,,,,,,,,,Michelle L.,,
4,5. Plan A: Standardized measures of IQ and development: BC Campus,Claire,,,,,Internal,Jennifer Engle (BC Campus),,,https://pressbooks.bccampus.ca/jengle/chapter/specific-intelligence-tests/,"September 9, 2021",clinicians,web link,,,,,,,,,,,Resource that aids in understanding factors to consider when choosing a test of IQ in special populations and describes the benefits and drawbacks of various tests of IQ and development ,no specific diagnosis,,"assessment, test, IQ, disability, special populations, test selection, review, IQ, developmental, general intelligence tests, nonverbal scales of intelligence, single domain nonverbal tests, developmental measures, recommendations, further education",N,,,,Jen E. ,All,
6,A Clinical Application Guide to Standardized Wheelchair Seating Measures & Support Surfaces (Rev 2013) ,Debbie,,,,Positioning Mobility Team,External,University of Colorado Denver,2013,,https://www1.ucdenver.edu/centers/center-for-inclusive-design-and-engineering/services/clinical-services/wheelchair-seating-measures-guide,May 31-21,"clinicians, researchers",web link,"Services, Supports & Community Resources",Learn About Assessments,Other Assessment Resources,,,,,,,,Resources that promote the adoption and use of standardized terminology and measurement during all phases of seating and mobility service delivery,"Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Positioning, mobility, lower body, Assistive technology","wheelchair, mobility, assistive device, evaluation, definitions, terminology, measurement, posture, positioning, evaluation",N,N ,,,Debbie,All,USA
7,"A Neuropsychological Assessment of Persons with Physical Disability, Visual Impairment or Deafness.",Tanja,,add,04-Jun-21,,External,"Felicia Hill-Briggs, Jack G Dial, Donna A Morere, Arthur Joyce",2007,2007,https://pubmed.ncbi.nlm.nih.gov/17303374/,15-Feb-22,Clinicians,PDF,Assessment,Learn About Assessments,Other Assessment Resources,,,,,,,,"Summary of issues pertaining to neuropsychological test selection and administration, common accommodation and modification practices, test development and validation, and disability-related factors that influence interpretation of test results when assessing individuals with physical, visual and/or hearing impairments.","Motor impairment, visual impairment, hearing impairment","cognition, motor function, behaviour, language, and executive functioning, Hand, arm use, printing, cognition, motor function, behaviour, language, and executive functioning","Neuropsychological testing, Motor impairment, visual impairment, hearing impairment, cognition, motor function, behaviour, language, and executive functioning",N,N,N,,Jen E.,,
8,A Parent's Handbook on Inclusive Education,Maddy,,,,,External,InclusionBC,2014,,https://inclusionbc.org/our-resources/parent-handbook/,30-Aug-21,"families/caregivers, clinicians, educators",web link,"Services, Supports & Community Resources",Advocating for Your Family's Needs,Advocacy Tools,,,,,,,,Guide to assist parents of a child with disabilities to understand educational issues and advocate for their child,,,"guide, handbook, inclusive, education, advocacy, school",N,,,,,,BC
11,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM): Early Detection of Cerebral Palsy Care Pathway ,Tanja,,,11-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-20,https://www.aacpdm.org/publications/care-pathways/early-detection-of-cerebral-palsy,02-01-2022,"Clinicians, Families/caregivers",web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,--,,,,,Evidence informed care pathway for early diagnosis of cerebral palsy ,Cerebral palsy ,Other,"early, diagnosis, CP",N,AACPDM Care Pathways: Early Diagnosis - Early Detection of Cerebral Palsy Plain Language Summary,,,Tanja M.,Infant/Toddler (0-3 years),
12,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Hip Surveillance in Cerebral Palsy Care Pathway,Tanja,,,11-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-18,https://www.aacpdm.org/publications/care-pathways/hip-surveillance,02-01-2022,"Clinicians, Families/caregivers",web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed cared recommendations for hip surveillancein individuals with cerebral palsy ,Cerebral palsy ,"Bone, muscle, skin health","CP, hip displacement, hip dislocation",N,AACPDM Care Pathways: Hip Surveillance - Bottom Line Evidence Informed Recommendation for Hip Surveillance in Individuals wih Cerebral Palsy - Plain Language Summary,,,Tanja M.,All,
13,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM)  Central Hypotonia Care Pathway,Tanja,,,11-May-21,Neuromotor,External,AACPDM,Sep-17,Mar-21,https://www.aacpdm.org/publications/care-pathways/central-hypotonia,02-01-2022,"Clinicians, Families/caregivers",web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed care pathway for assessment and intervention of central hypotonia in children 0-6 years of age,Other,Other,tone,N,AACPDM Care Pathways: Central Hypotonia - Plain Language Summary,,,Tanja M. ,Early Years (0-6 years),
14,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Dystonia Care Pathway,Tanja,,,6-May-21,Neuromotor,External,AACPDM,Sep-16,Oct-19,https://www.aacpdm.org/publications/care-pathways/dystonia,02-01-2022,"Clinicians, Families/caregivers, Researchers",web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed care pathway for assessment and management of dystonia in individuals with cerebral palsy,Cerebral palsy ,Other,"CP, movement disorder, tone",N,,,,Diane W. ,All,
15,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Osteoporosis Care Pathway,Tanja,,,6-May-21,Neuromotor,External,AACPDM,Sep-17,Nov-19,https://www.aacpdm.org/publications/care-pathways/osteoporosis,02-01-2022,"Clinicians, Families/caregivers, Researchers",web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed care pathway for prevention and management of osteoporosis in children and youth with cerebral palsy,Cerebral palsy ,"Bone, muscle, skin health",CP,N,AACPDM Care Pathways: Osteoporosis - Bottom Lim Evidence Informed Recommendations for Children/Youth with Cerebral Palsy who are Non-Ambulatory and at risk for or have Osteoporosis - Plain Language Summary,,,Diane W. ,All,
16,American Academy for Cerebral Palsy and Developmental Medicine (AACPDM) Siahlorrhea Care Pathway,Tanja,,,6-May-21,Neuromotor,External,AACPDM,Sep-17,Jun-18,https://www.aacpdm.org/publications/care-pathways/sialorrhea,02-01-2022,"Clinicians, Families/caregivers, Researchers",web link,Assessment,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,Learn About Health Conditions,,,,,,Evidence informed care pathway for assessment and treatment of sialorrhea in individuals with cerebral palsy,Cerebral palsy ,"Swallowing, eating, drinking  ","CP, drooling",N,AACPDM Care Pathways: Sialorrhea - Bottom Lim Evidence Informed Recommendations for Children/Youth with Cerebral Palsy who have Sialorrhea - Plain Language Summary,,,Diane W. ,All,
17,"Abilities, Canada’s Lifestyle Magazine for people with disabilities",Debbie,,,,,External,Canadian Abilities Foundation,unknown,,https://www.abilities.ca,May 27-21,"Families/caregivers, Clinicians, Educators",web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Physical Activity,,Recreation and Leisure Activities,Arts and Cultural Programs,,Equipment and Supplies,Equipment and Maintenace Information,,"Online publication providing exchange of information, inspiration and opportunities for people with disabilities. Topics include accessibility, health and activity, independent living, work and money, family life, and job board.",All,All,"health, lifestyle, participation, acceptance, inclusion, healthy living, accessibility, assistive technology, well-being, employment",N,N,,,Debbie,All,Canada
18,Ability Online Support Network,Debbie,,,,,External,Arlette Lefebvre & Michelle McClure,1991,2022,https://abilityonline.org/,May 27-21,"Children/youth, Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,,,Find Care and Support Services in BC,Supports for Families,Child/Youth Support Groups,Find Care and Support Services in BC,Supports for Families,Family/Caregiver Support Groups,"Supportive and safe online community platform connecting children and youth who have a variety of disabilities. Fosters positive attitudes, builds self-esteem, and inspires involvement which contributes to emotional health and wellness and promotes inclusion and acceptance. Separate sections to network for parents and professionals who support children and youth. Free membership but provisions in place for screening, safety and respectful communication. ",All,"Communication, Behaviour, emotion, social skills, Play, recreation, physical activity, Personal care, home routines, Learning, education","friendship, acceptance, inclusion, social connection, social support, emotional support, recreation, communication, community, well-being, ",no,N,N,,Debbie,All,Canada
19,Ablenet Remarkable Ideas [activity suggestions for using assistive technology],Debbie,,,,Assistive Technology Team,External,Ablenet,unknown,,https://www.ablenetinc.com/remarkableideas/,May 28-21,"Families/caregivers, Clinicians, Educators, Health professional students, Technician/engineer",web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,,,Equipment and Supplies,Training Resources,,,,,"Online collection of freely available activity suggestions using assistive technology (e.g., switches, communication devices, environmental controls) for classroom and home to assist those with physical disabilities who can benefit from assistive technologies for learning, communication and control of their environment",All,"Assistive technology, Communication, Behaviour, emotion, social skills, Learning, education, Play, recreation, physical activity, Hand, arm use, printing","education, assistive technology, switches, environmental control, play, learning, augmentative and alternate communication, AAC, activity suggestions, assistive device",N,N,,"Current SeatingandMobility.ca topic/webpage: Equipment Manufacturers, needs renaming",Debbie,All,USA
